N,long_orig,lat_orig,name,fclass,additional_info,zone,buckets,time_windows,closed,type,id,lat_snapped_trucktest,long_snapped_trucktest,snapped_dist_trucktest
1.0,-73.98985281,40.69267361,465,1.0,465.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
2.0,-73.89905704,40.6419026,2578,1.0,2578.0,BK4,1.0,,0.0,Customer,,40.641878,-73.899026,3.705103985
3.0,-73.89905704,40.6419026,2823,1.0,2823.0,BK4,1.0,,0.0,Customer,,40.641878,-73.899026,3.705103985
4.0,-73.98535329,40.65440096,1579,1.0,1579.0,BK2_3,1.0,,0.0,Customer,,40.654296,-73.985412,12.613837508
5.0,-73.87071047,40.68711035,1271,1.0,1271.0,BK4,1.0,,0.0,Customer,,40.687074,-73.870978,22.862355092
6.0,-73.95787559,40.67817638,821,0.0,821.0,BK1,5.0,,0.0,Customer,,40.678086,-73.957911,10.483284597
7.0,-73.95787559,40.67817638,587,0.0,587.0,BK1,1.0,,0.0,Customer,,40.678086,-73.957911,10.483284597
8.0,-73.95787559,40.67817638,613,0.0,613.0,BK1,1.0,,0.0,Customer,,40.678086,-73.957911,10.483284597
9.0,-73.94575174,40.69553062,733,1.0,733.0,BK1,1.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
10.0,-73.94575174,40.69553062,744,1.0,744.0,BK1,1.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
11.0,-73.94575174,40.69553062,580,0.0,580.0,BK1,1.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
12.0,-73.94575174,40.69553062,814,0.0,814.0,BK1,5.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
13.0,-73.94575174,40.69553062,606,0.0,606.0,BK1,1.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
14.0,-73.94575174,40.69553062,734,1.0,734.0,BK1,1.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
15.0,-73.94575174,40.69553062,731,1.0,731.0,BK1,1.0,,0.0,Customer,,40.69543,-73.945734,11.245632584
16.0,-73.997281,40.69669493,452,1.0,452.0,BK2_3,1.0,,0.0,Customer,,40.69665,-73.997123,14.425638228
17.0,-73.997281,40.69669493,430,1.0,430.0,BK2_3,1.0,,0.0,Customer,,40.69665,-73.997123,14.425638228
18.0,-73.997281,40.69669493,549,0.0,549.0,BK2_3,5.0,,0.0,Customer,,40.69665,-73.997123,14.425638228
19.0,-73.997281,40.69669493,325,0.0,325.0,BK2_3,1.0,,0.0,Customer,,40.69665,-73.997123,14.425638228
20.0,-73.997281,40.69669493,309,0.0,309.0,BK2_3,1.0,,0.0,Customer,,40.69665,-73.997123,14.425638228
21.0,-73.96931107,40.57346479,1708,1.0,1708.0,BK2_3,1.0,,0.0,Customer,,40.574675,-73.96989,143.121379888
22.0,-73.868435,40.65982286,1273,1.0,1273.0,BK4,1.0,,0.0,Customer,,40.659996,-73.868006,41.292712546
23.0,-73.99520081,40.69302506,476,1.0,476.0,BK2_3,1.0,,0.0,Customer,,40.693009,-73.995145,5.019213486
24.0,-73.97104554,40.69074871,310,0.0,310.0,BK2_3,1.0,,0.0,Customer,,40.690712,-73.971374,28.051390912
25.0,-73.97104554,40.69074871,326,0.0,326.0,BK2_3,1.0,,0.0,Customer,,40.690712,-73.971374,28.051390912
26.0,-73.97104554,40.69074871,552,0.0,552.0,BK2_3,5.0,,0.0,Customer,,40.690712,-73.971374,28.051390912
27.0,-73.94516605,40.6720929,2068,1.0,2068.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
