,lon,lat,properties
1979,-73.968218,40.67945,black-25
1980,-73.968229,40.67942,black-25
1981,-73.968254,40.679352,black-25
1982,-73.968334,40.679119,black-25
1983,-73.968445,40.678831,black-25
1984,-73.968522,40.678619,black-25
1985,-73.968551,40.678545,black-25
1986,-73.968576,40.678479,black-25
1987,-73.968841,40.67774,black-25
1988,-73.968866,40.677667,black-25
1989,-73.968889,40.677599,black-25
1990,-73.968955,40.677402,black-25
1991,-73.969069,40.677088,black-25
1992,-73.969156,40.676859,black-25
1993,-73.969183,40.676787,black-25
1994,-73.969209,40.67672,black-25
1995,-73.969472,40.675977,black-25
1996,-73.969498,40.675906,black-25
1997,-73.96952,40.675843,black-25
1998,-73.969585,40.675659,black-25
1999,-73.969658,40.675452,black-25
2000,-73.969688,40.675367,black-25
2001,-73.969729,40.675268,black-25
2002,-73.969802,40.675076,black-25
2003,-73.969941,40.674937,black-25
2004,-73.970073,40.674823,black-25
2005,-73.970098,40.674801,black-25
2006,-73.97019,40.674723,black-25
2007,-73.970263,40.674664,black-25
2008,-73.97033,40.674606,black-25
2009,-73.970423,40.674534,black-25
2010,-73.970485,40.674482,black-25
2011,-73.970548,40.674428,black-25
2012,-73.970655,40.67435,black-25
2013,-73.97068,40.67428,black-25
2014,-73.970693,40.674226,black-25
2015,-73.970706,40.674155999999996,black-25
2016,-73.970712,40.674101,black-25
2017,-73.970717,40.674013,black-25
2018,-73.970712,40.673926,black-25
2019,-73.970694,40.673832,black-25
2020,-73.97066,40.673701,black-25
2021,-73.970508,40.673497,black-25
2022,-73.970408,40.673281,black-25
2023,-73.97034,40.673132,black-25
2024,-73.970257,40.672952,black-25
2025,-73.970213,40.672875,black-25
2026,-73.970173,40.672819,black-25
2027,-73.970116,40.672738,black-25
2028,-73.970101,40.672718,black-25
2029,-73.970041,40.672641,black-25
2030,-73.969764,40.672641,black-25
2031,-73.969653,40.672641,black-25
2032,-73.969464,40.672603,black-25
2033,-73.96935,40.672578,black-25
2034,-73.969276,40.672558,black-25
2035,-73.969183,40.672527,black-25
2036,-73.969076,40.672449,black-25
2037,-73.969016,40.672375,black-25
2038,-73.968834,40.672225,black-25
2039,-73.968771,40.672139,black-25
2040,-73.968004,40.671091,black-25
2041,-73.965509,40.667629,black-25
2042,-73.964356,40.665959,black-25
2043,-73.964326,40.665917,black-25
2044,-73.964284,40.665855,black-25
2045,-73.964241,40.665793,black-25
2046,-73.963641,40.664924,black-25
2047,-73.962885,40.663804999999996,black-25
2048,-73.962666,40.663508,black-25
2049,-73.9625,40.663267,black-25
2050,-73.962384,40.663097,black-25
2051,-73.962281,40.663179,black-25
2052,-73.962168,40.663213999999996,black-25
2053,-73.961995,40.66324,black-25
2054,-73.961633,40.663259,black-25
2055,-73.96108,40.663288,black-25
2056,-73.960957,40.663295,black-25
2057,-73.960978,40.663405,black-25
2058,-73.961021,40.663616,black-25
2059,-73.961095,40.663998,black-25
2060,-73.961108,40.664063,black-25
2061,-73.961122,40.664134,black-25
2062,-73.9612,40.664538,black-25
2063,-73.961243,40.66476,black-25
2064,-73.961294,40.665027,black-25
2065,-73.961428,40.665722,black-25
2066,-73.961572,40.666465,black-25
2067,-73.961598,40.666601,black-25
2068,-73.961616,40.666695,black-25
2069,-73.961719,40.667225,black-25
2070,-73.961782,40.667558,black-25
2071,-73.961806,40.667681,black-25
2072,-73.96182,40.667753,black-25
2073,-73.96198,40.668579,black-25
2074,-73.961996,40.668663,black-25
2075,-73.962015,40.668759,black-25
2076,-73.962101,40.669194,black-25
2077,-73.962112,40.669257,black-25
2078,-73.962127,40.669341,black-25
2079,-73.962194,40.669641,black-25
2080,-73.962238,40.669846,black-25
2081,-73.962286,40.670112,black-25
2082,-73.962361,40.670523,black-25
2083,-73.962511,40.671348,black-25
2084,-73.962537,40.671499,black-25
2085,-73.962568,40.671636,black-25
2086,-73.962428,40.671608,black-25
2087,-73.962055,40.671529,black-25
2088,-73.961806,40.671477,black-25
2089,-73.961432,40.671397999999996,black-25
2090,-73.961332,40.671377,black-25
2091,-73.961248,40.671359,black-25
2092,-73.960925,40.671291,black-25
2093,-73.958632,40.670808,black-25
2094,-73.958068,40.670696,black-25
2095,-73.957968,40.670676,black-25
2096,-73.957883,40.670659,black-25
2097,-73.957326,40.670546,black-25
2098,-73.955668,40.670193,black-25
2099,-73.955404,40.670158,black-25
2100,-73.95533,40.670148,black-25
2101,-73.955261,40.670139,black-25
2102,-73.955317,40.669992,black-25
2103,-73.955347,40.669909,black-25
2104,-73.955361,40.669871,black-25
2105,-73.955565,40.669301,black-25
2106,-73.955592,40.669233,black-25
2107,-73.955471,40.669232,black-25
2108,-73.953456,40.669121,black-25
2109,-73.953353,40.669115,black-25
2110,-73.953263,40.66911,black-25
2111,-73.950865,40.668981,black-25
2112,-73.950865,40.668981,black-25
2113,-73.950865,40.668981,black-25
2114,-73.950865,40.668981,black-25
2115,-73.950865,40.668981,black-25
2116,-73.950684999,40.668971,black-25
2117,-73.950584,40.668965,black-25
2118,-73.950495,40.66896,black-25
2119,-73.947917,40.668822,black-25
2120,-73.947817,40.668791,black-25
2121,-73.94781,40.668865,black-25
2122,-73.947756,40.669441,black-25
2123,-73.947751,40.669499,black-25
2124,-73.947744,40.66957,black-25
2125,-73.947729,40.669722,black-25
2126,-73.947651,40.669717,black-25
2127,-73.947313,40.669696,black-25
2128,-73.94558,40.669606,black-25
2129,-73.945058,40.669577,black-25
2130,-73.94496,40.669572,black-25
2131,-73.944875,40.669567,black-25
2132,-73.944289,40.669533,black-25
2133,-73.943828,40.669506,black-25
2134,-73.942917,40.66946,black-25
2135,-73.942287,40.669422,black-25
2136,-73.942192,40.669416,black-25
2137,-73.942107,40.669412,black-25
2138,-73.941697,40.669391,black-25
2139,-73.940065,40.669305,black-25
2140,-73.939524,40.669275,black-25
2141,-73.939425,40.669269,black-25
2142,-73.939336,40.669264,black-25
2143,-73.938772,40.669231,black-25
2144,-73.937307,40.669155,black-25
2145,-73.936756,40.669124,black-25
2146,-73.936655,40.669118,black-25
2147,-73.93657,40.669114,black-25
2148,-73.935878,40.66908,black-25
2149,-73.934255,40.668987,black-25
2150,-73.933989,40.668975,black-25
2151,-73.933886,40.668971,black-25
2152,-73.933798,40.668965,black-25
2153,-73.933224,40.66893,black-25
2154,-73.931501,40.668837,black-25
2155,-73.931229,40.66882,black-25
2156,-73.931126,40.668814,black-25
2157,-73.931015,40.668808,black-25
2158,-73.930275,40.66877,black-25
2159,-73.92908,40.668707,black-25
2160,-73.928453,40.66867,black-25
2161,-73.928348,40.668664,black-25
2162,-73.928258,40.668659,black-25
2163,-73.927681,40.668626,black-25
2164,-73.927331,40.668606,black-25
2165,-73.926345,40.668553,black-25
2166,-73.925725,40.668506,black-25
2167,-73.925598,40.668496,black-25
2168,-73.925492,40.668491,black-25
2169,-73.924946,40.668466,black-25
2170,-73.923312,40.668392,black-25
2171,-73.922728,40.668365,black-25
2172,-73.922633,40.668361,black-25
2173,-73.922639,40.668299,black-25
2174,-73.922644,40.668224,black-25
2175,-73.922655,40.668126,black-25
2176,-73.92266,40.668076,black-25
2177,-73.922686,40.667799,black-25
2178,-73.922709,40.667552,black-25
2179,-73.922709,40.667552,black-25
2180,-73.922709,40.667552,black-25
2181,-73.922709,40.667552,black-25
2182,-73.922686,40.667799,black-25
2183,-73.92266,40.668076,black-25
2184,-73.922655,40.668126,black-25
2185,-73.922644,40.668224,black-25
2186,-73.922639,40.668299,black-25
2187,-73.922633,40.668361,black-25
2188,-73.92254199999999,40.668346,black-25
2189,-73.922406,40.668363,black-25
2190,-73.922331,40.668386,black-25
2191,-73.92225,40.668419,black-25
2192,-73.921975,40.668556,black-25
2193,-73.921834,40.668636,black-25
2194,-73.921707,40.668708,black-25
2195,-73.921606,40.668758,black-25
2196,-73.921527,40.668789,black-25
2197,-73.921333,40.668861,black-25
2198,-73.920808,40.669077,black-25
2199,-73.920577,40.669171,black-25
2200,-73.920171,40.669335,black-25
2201,-73.920085,40.66937,black-25
2202,-73.919934,40.669431,black-25
2203,-73.919837,40.669471,black-25
2204,-73.918967,40.669837,black-25
2205,-73.918754,40.669922,black-25
2206,-73.918526,40.67002,black-25
2207,-73.917509,40.670438,black-25
2208,-73.917153,40.670585,black-25
2209,-73.91703,40.670636,black-25
2210,-73.916799,40.670727,black-25
2211,-73.916722,40.67076,black-25
2212,-73.915075,40.671435,black-25
2213,-73.914893,40.671509,black-25
2214,-73.914733,40.671574,black-25
2215,-73.914254,40.67177,black-25
2216,-73.914141,40.671816,black-25
2217,-73.914038,40.67186,black-25
2218,-73.9133,40.672166,black-25
2219,-73.912998,40.672291,black-25
2220,-73.912862,40.672347,black-25
2221,-73.911727,40.672817,black-25
2222,-73.911383,40.67296,black-25
2223,-73.911246,40.673017,black-25
2224,-73.911125,40.67308,black-25
2225,-73.911084,40.673107,black-25
2226,-73.910326,40.6737,black-25
2227,-73.910326,40.6737,black-25
2228,-73.910128,40.673856,black-25
2229,-73.910022,40.673936,black-25
2230,-73.909933,40.673996,black-25
2231,-73.909227,40.674533,black-25
2232,-73.909155,40.674587,black-25
2233,-73.909062,40.674658,black-25
2234,-73.908973,40.674725,black-25
2235,-73.908458,40.675116,black-25
2236,-73.908413,40.675151,black-25
2237,-73.908244,40.675287,black-25
2238,-73.908155,40.675379,black-25
2239,-73.908131,40.67541,black-25
2240,-73.908109,40.675449,black-25
2241,-73.908085,40.675519,black-25
2242,-73.90807,40.675664,black-25
2243,-73.908035,40.675981,black-25
2244,-73.908029,40.67603,black-25
2245,-73.908025,40.676077,black-25
2246,-73.908023,40.67614,black-25
2247,-73.908014,40.676223,black-25
2248,-73.908015,40.676282,black-25
2249,-73.908009,40.676346,black-25
2250,-73.907921,40.677294,black-25
2251,-73.907915,40.677361,black-25
2252,-73.90791,40.677426,black-25
2253,-73.907898,40.677571,black-25
2254,-73.907867,40.677845,black-25
2255,-73.907856,40.677912,black-25
2256,-73.907838,40.677965,black-25
2257,-73.90781,40.678029,black-25
2258,-73.907756,40.678112,black-25
2259,-73.907638,40.678109,black-25
2260,-73.907483,40.678099,black-25
2261,-73.906388,40.678033,black-25
2262,-73.906086,40.678015,black-25
2263,-73.905983,40.678009,black-25
2264,-73.905887,40.678003,black-25
2265,-73.905876,40.678002,black-25
2266,-73.903836,40.677894,black-25
2267,-73.90358,40.677881,black-25
2268,-73.903461,40.677875,black-25
2269,-73.903338,40.677866,black-25
2270,-73.9033,40.67778,black-25
2271,-73.903323,40.677503,black-25
2272,-73.903349,40.677182,black-25
2273,-73.903355,40.677112,black-25
2274,-73.903259,40.677107,black-25
2275,-73.90243,40.677065999999996,black-25
2276,-73.902421,40.67713,black-25
2277,-73.902397,40.677283,black-25
2278,-73.902351,40.677409,black-25
2279,-73.902351,40.677409,black-25
2280,-73.902351,40.677409,black-25
2281,-73.902351,40.677409,black-25
2282,-73.902351,40.677409,black-25
2283,-73.902344,40.677428,black-25
