,lon,lat,properties
5031,-73.968218,40.67945,blue-2
5032,-73.968201,40.679497,blue-2
5033,-73.967981,40.680122,blue-2
5034,-73.967956,40.68019,blue-2
5035,-73.967823,40.680162,blue-2
5036,-73.965501,40.679677,blue-2
5037,-73.965157,40.679605,blue-2
5038,-73.965067,40.679586,blue-2
5039,-73.964971,40.679566,blue-2
5040,-73.964205,40.679407,blue-2
5041,-73.964073,40.679379,blue-2
5042,-73.963948,40.679353,blue-2
5043,-73.96205,40.678954,blue-2
5044,-73.961957,40.678934,blue-2
5045,-73.961862,40.678914,blue-2
5046,-73.958944,40.678303,blue-2
5047,-73.958845,40.678282,blue-2
5048,-73.958759,40.678264,blue-2
5049,-73.957911,40.678086,blue-2
5050,-73.957911,40.678086,blue-2
5051,-73.957911,40.678086,blue-2
5052,-73.957911,40.678086,blue-2
5053,-73.955573,40.677597,blue-2
5054,-73.955475,40.677576,blue-2
5055,-73.955496,40.677513,blue-2
5056,-73.955627,40.677119,blue-2
5057,-73.955706,40.676883,blue-2
5058,-73.955732,40.676806,blue-2
5059,-73.955757,40.676741,blue-2
5060,-73.956034,40.676018,blue-2
5061,-73.956069,40.675928,blue-2
5062,-73.956096,40.675853,blue-2
5063,-73.956359,40.675124,blue-2
5064,-73.956386,40.67505,blue-2
5065,-73.956408,40.674989,blue-2
5066,-73.956477,40.674799,blue-2
5067,-73.956526,40.674662,blue-2
5068,-73.956675,40.67425,blue-2
5069,-73.956703,40.674171,blue-2
5070,-73.956726,40.674109,blue-2
5071,-73.95691,40.673601,blue-2
5072,-73.956995,40.673367999999996,blue-2
5073,-73.957021,40.673295,blue-2
5074,-73.957045,40.673227,blue-2
5075,-73.957312,40.672488,blue-2
5076,-73.957339,40.672414,blue-2
5077,-73.95736,40.672356,blue-2
5078,-73.957634,40.671615,blue-2
5079,-73.95766,40.671544,blue-2
5080,-73.957686,40.67147,blue-2
5081,-73.957876,40.67093,blue-2
5082,-73.957897,40.670872,blue-2
5083,-73.957928,40.670785,blue-2
5084,-73.957968,40.670676,blue-2
5085,-73.957883,40.670659,blue-2
5086,-73.957326,40.670546,blue-2
5087,-73.955668,40.670193,blue-2
5088,-73.955404,40.670158,blue-2
5089,-73.95533,40.670148,blue-2
5090,-73.955261,40.670139,blue-2
5091,-73.955317,40.669992,blue-2
5092,-73.955347,40.669909,blue-2
5093,-73.955361,40.669871,blue-2
5094,-73.955565,40.669301,blue-2
5095,-73.955592,40.669233,blue-2
5096,-73.955471,40.669232,blue-2
5097,-73.953456,40.669121,blue-2
5098,-73.953353,40.669115,blue-2
5099,-73.953263,40.66911,blue-2
5100,-73.950865,40.668981,blue-2
5101,-73.950865,40.668981,blue-2
5102,-73.950865,40.668981,blue-2
5103,-73.950865,40.668981,blue-2
5104,-73.950684999,40.668971,blue-2
5105,-73.950584,40.668965,blue-2
5106,-73.95059,40.668905,blue-2
5107,-73.950662,40.668139,blue-2
5108,-73.950668,40.668072,blue-2
5109,-73.950764,40.668077,blue-2
5110,-73.953345,40.668219,blue-2
5111,-73.953439,40.668224,blue-2
5112,-73.953432,40.668297,blue-2
5113,-73.953359,40.669056,blue-2
5114,-73.953353,40.669115,blue-2
5115,-73.953346,40.669188,blue-2
5116,-73.9533,40.669685,blue-2
5117,-73.953295,40.669742,blue-2
5118,-73.953289,40.669798,blue-2
5119,-73.953281,40.669883,blue-2
5120,-73.953269,40.670023,blue-2
5121,-73.953257,40.670148,blue-2
5122,-73.95325,40.670223,blue-2
5123,-73.953244,40.670282,blue-2
5124,-73.953193,40.670837,blue-2
5125,-73.953187,40.670898,blue-2
5126,-73.95318,40.670976,blue-2
5127,-73.953114,40.671662,blue-2
5128,-73.953108,40.671727,blue-2
5129,-73.953102,40.671791,blue-2
5130,-73.953095,40.671871,blue-2
