,lon,lat,properties
9789,-73.968218,40.67945,green-27
9790,-73.968229,40.67942,green-27
9791,-73.968254,40.679352,green-27
9792,-73.968334,40.679119,green-27
9793,-73.968445,40.678831,green-27
9794,-73.968522,40.678619,green-27
9795,-73.968551,40.678545,green-27
9796,-73.968576,40.678479,green-27
9797,-73.968841,40.67774,green-27
9798,-73.968866,40.677667,green-27
9799,-73.968889,40.677599,green-27
9800,-73.968955,40.677402,green-27
9801,-73.969069,40.677088,green-27
9802,-73.969156,40.676859,green-27
9803,-73.969183,40.676787,green-27
9804,-73.969209,40.67672,green-27
9805,-73.969472,40.675977,green-27
9806,-73.969498,40.675906,green-27
9807,-73.96952,40.675843,green-27
9808,-73.969585,40.675659,green-27
9809,-73.969658,40.675452,green-27
9810,-73.969688,40.675367,green-27
9811,-73.969729,40.675268,green-27
9812,-73.969802,40.675076,green-27
9813,-73.969941,40.674937,green-27
9814,-73.970073,40.674823,green-27
9815,-73.970098,40.674801,green-27
9816,-73.97019,40.674723,green-27
9817,-73.970263,40.674664,green-27
9818,-73.97033,40.674606,green-27
9819,-73.970423,40.674534,green-27
9820,-73.970485,40.674482,green-27
9821,-73.970548,40.674428,green-27
9822,-73.970655,40.67435,green-27
9823,-73.97068,40.67428,green-27
9824,-73.970693,40.674226,green-27
9825,-73.970706,40.674155999999996,green-27
9826,-73.970712,40.674101,green-27
9827,-73.970717,40.674013,green-27
9828,-73.970712,40.673926,green-27
9829,-73.970694,40.673832,green-27
9830,-73.97066,40.673701,green-27
9831,-73.970508,40.673497,green-27
9832,-73.970408,40.673281,green-27
9833,-73.97034,40.673132,green-27
9834,-73.970257,40.672952,green-27
9835,-73.970213,40.672875,green-27
9836,-73.970173,40.672819,green-27
9837,-73.970116,40.672738,green-27
9838,-73.970101,40.672718,green-27
9839,-73.970041,40.672641,green-27
9840,-73.969764,40.672641,green-27
9841,-73.969653,40.672641,green-27
9842,-73.969464,40.672603,green-27
9843,-73.96935,40.672578,green-27
9844,-73.969276,40.672558,green-27
9845,-73.969183,40.672527,green-27
9846,-73.969076,40.672449,green-27
9847,-73.969016,40.672375,green-27
9848,-73.968834,40.672225,green-27
9849,-73.968771,40.672139,green-27
9850,-73.968004,40.671091,green-27
9851,-73.965509,40.667629,green-27
9852,-73.964356,40.665959,green-27
9853,-73.964326,40.665917,green-27
9854,-73.964284,40.665855,green-27
9855,-73.964241,40.665793,green-27
9856,-73.963641,40.664924,green-27
9857,-73.962885,40.663804999999996,green-27
9858,-73.962666,40.663508,green-27
9859,-73.9625,40.663267,green-27
9860,-73.962384,40.663097,green-27
9861,-73.962315,40.662993,green-27
9862,-73.962097,40.662666,green-27
9863,-73.96208,40.662642,green-27
9864,-73.962033,40.662572,green-27
9865,-73.961624,40.661962,green-27
9866,-73.961504,40.661785,green-27
9867,-73.961437,40.661685,green-27
9868,-73.961335,40.661541,green-27
9869,-73.961259,40.661434,green-27
9870,-73.960927,40.660967,green-27
9871,-73.960875,40.660895,green-27
9872,-73.960831,40.660828,green-27
9873,-73.960747,40.660701,green-27
9874,-73.960709,40.660635,green-27
