,lon,lat,properties
14169,-73.968218,40.67945,orange-28
14170,-73.968229,40.67942,orange-28
14171,-73.968254,40.679352,orange-28
14172,-73.968334,40.679119,orange-28
14173,-73.968445,40.678831,orange-28
14174,-73.968522,40.678619,orange-28
14175,-73.968551,40.678545,orange-28
14176,-73.968576,40.678479,orange-28
14177,-73.968841,40.67774,orange-28
14178,-73.968866,40.677667,orange-28
14179,-73.968889,40.677599,orange-28
14180,-73.968955,40.677402,orange-28
14181,-73.969069,40.677088,orange-28
14182,-73.969156,40.676859,orange-28
14183,-73.969183,40.676787,orange-28
14184,-73.969209,40.67672,orange-28
14185,-73.969472,40.675977,orange-28
14186,-73.969498,40.675906,orange-28
14187,-73.96952,40.675843,orange-28
14188,-73.969585,40.675659,orange-28
14189,-73.969658,40.675452,orange-28
14190,-73.969688,40.675367,orange-28
14191,-73.969729,40.675268,orange-28
14192,-73.969802,40.675076,orange-28
14193,-73.969941,40.674937,orange-28
14194,-73.970073,40.674823,orange-28
14195,-73.970098,40.674801,orange-28
14196,-73.97019,40.674723,orange-28
14197,-73.970263,40.674664,orange-28
14198,-73.97033,40.674606,orange-28
14199,-73.970423,40.674534,orange-28
14200,-73.970485,40.674482,orange-28
14201,-73.970548,40.674428,orange-28
14202,-73.970655,40.67435,orange-28
14203,-73.97068,40.67428,orange-28
14204,-73.970693,40.674226,orange-28
14205,-73.970706,40.674155999999996,orange-28
14206,-73.970712,40.674101,orange-28
14207,-73.970717,40.674013,orange-28
14208,-73.970712,40.673926,orange-28
14209,-73.970694,40.673832,orange-28
14210,-73.97066,40.673701,orange-28
14211,-73.970508,40.673497,orange-28
14212,-73.970408,40.673281,orange-28
14213,-73.97034,40.673132,orange-28
14214,-73.970257,40.672952,orange-28
14215,-73.970213,40.672875,orange-28
14216,-73.970173,40.672819,orange-28
14217,-73.970116,40.672738,orange-28
14218,-73.970101,40.672718,orange-28
14219,-73.970041,40.672641,orange-28
14220,-73.969764,40.672641,orange-28
14221,-73.969653,40.672641,orange-28
14222,-73.969464,40.672603,orange-28
14223,-73.96935,40.672578,orange-28
14224,-73.969276,40.672558,orange-28
14225,-73.969183,40.672527,orange-28
14226,-73.969076,40.672449,orange-28
14227,-73.969016,40.672375,orange-28
14228,-73.968834,40.672225,orange-28
14229,-73.968771,40.672139,orange-28
14230,-73.968004,40.671091,orange-28
14231,-73.965509,40.667629,orange-28
14232,-73.964356,40.665959,orange-28
14233,-73.964326,40.665917,orange-28
14234,-73.964284,40.665855,orange-28
14235,-73.964241,40.665793,orange-28
14236,-73.963641,40.664924,orange-28
14237,-73.962885,40.663804999999996,orange-28
14238,-73.962666,40.663508,orange-28
14239,-73.9625,40.663267,orange-28
