,lon,lat,properties
19273,-73.968218,40.67945,pink-5
19274,-73.968201,40.679497,pink-5
19275,-73.967981,40.680122,pink-5
19276,-73.967956,40.68019,pink-5
19277,-73.967823,40.680162,pink-5
19278,-73.965501,40.679677,pink-5
19279,-73.965157,40.679605,pink-5
19280,-73.965067,40.679586,pink-5
19281,-73.964971,40.679566,pink-5
19282,-73.964205,40.679407,pink-5
19283,-73.964073,40.679379,pink-5
19284,-73.964091,40.679459,pink-5
19285,-73.964147,40.67976,pink-5
19286,-73.964222,40.68016,pink-5
19287,-73.964236,40.680236,pink-5
19288,-73.964249,40.680303,pink-5
19289,-73.964312,40.680584,pink-5
19290,-73.964381,40.680957,pink-5
19291,-73.964394,40.68105,pink-5
19292,-73.964414,40.681192,pink-5
19293,-73.964427,40.681282,pink-5
19294,-73.964432,40.681311,pink-5
19295,-73.964437,40.681341,pink-5
19296,-73.964529,40.681783,pink-5
19297,-73.964656,40.682423,pink-5
19298,-73.964762,40.682953,pink-5
19299,-73.964779,40.68304,pink-5
19300,-73.964798,40.683135,pink-5
19301,-73.96507,40.684487,pink-5
19302,-73.965082,40.684546,pink-5
19303,-73.965097,40.684621,pink-5
19304,-73.965517,40.686692,pink-5
19305,-73.965525,40.686743,pink-5
19306,-73.96554,40.686817,pink-5
19307,-73.965809,40.688144,pink-5
19308,-73.965822,40.688209,pink-5
19309,-73.965839,40.68829,pink-5
19310,-73.965989,40.689023,pink-5
19311,-73.966104,40.68958,pink-5
19312,-73.966113,40.689607,pink-5
19313,-73.966135,40.689673,pink-5
19314,-73.966165,40.689755,pink-5
19315,-73.966177,40.689789,pink-5
19316,-73.966554,40.691693,pink-5
19317,-73.966566,40.691756,pink-5
19318,-73.966579,40.691821,pink-5
19319,-73.966866,40.693265,pink-5
19320,-73.966881,40.693341,pink-5
19321,-73.966897,40.69342,pink-5
19322,-73.967262,40.695234,pink-5
19323,-73.967344,40.695644,pink-5
19324,-73.967357,40.695709,pink-5
19325,-73.967411,40.695989,pink-5
19326,-73.967427,40.696066,pink-5
19327,-73.967741,40.697601,pink-5
19328,-73.96774,40.697629,pink-5
19329,-73.967737,40.69772,pink-5
19330,-73.967626,40.697715,pink-5
19331,-73.966737,40.697677,pink-5
19332,-73.965785,40.697635,pink-5
19333,-73.965428,40.69763,pink-5
19334,-73.964875,40.697714,pink-5
19335,-73.963949,40.69786,pink-5
19336,-73.962979,40.698016,pink-5
19337,-73.962839,40.698039,pink-5
19338,-73.962903,40.698094,pink-5
19339,-73.962885,40.69812,pink-5
19340,-73.962851,40.698235,pink-5
19341,-73.962885,40.69812,pink-5
19342,-73.962903,40.698094,pink-5
19343,-73.962839,40.698039,pink-5
19344,-73.96272,40.698058,pink-5
19345,-73.962029,40.69817,pink-5
19346,-73.961912,40.698193,pink-5
19347,-73.961892,40.698292,pink-5
19348,-73.961858,40.698428,pink-5
19349,-73.961789,40.698606,pink-5
19350,-73.96171,40.698793,pink-5
19351,-73.961601,40.698998,pink-5
19352,-73.961526,40.699108,pink-5
19353,-73.9614,40.699243,pink-5
19354,-73.961161,40.699414,pink-5
19355,-73.961032,40.699485,pink-5
19356,-73.961071,40.699554,pink-5
19357,-73.961225,40.699657,pink-5
19358,-73.961396,40.699772,pink-5
19359,-73.961609,40.69992,pink-5
19360,-73.961573,40.699981,pink-5
19361,-73.961484,40.700117,pink-5
19362,-73.96128,40.700263,pink-5
19363,-73.960899,40.701035,pink-5
19364,-73.960855,40.701125,pink-5
19365,-73.960809,40.70122,pink-5
19366,-73.960673,40.701499,pink-5
19367,-73.96054,40.701711,pink-5
19368,-73.959935,40.702939,pink-5
19369,-73.959889,40.703032,pink-5
19370,-73.959846,40.703115,pink-5
19371,-73.9598,40.703191,pink-5
19372,-73.959631,40.70349,pink-5
19373,-73.958982,40.7046,pink-5
19374,-73.958923,40.704701,pink-5
19375,-73.958884,40.704768,pink-5
19376,-73.958819,40.704711,pink-5
19377,-73.958312,40.704263,pink-5
19378,-73.958244,40.704203,pink-5
19379,-73.958188,40.704153,pink-5
19380,-73.957683,40.7037,pink-5
19381,-73.957616,40.703639,pink-5
19382,-73.957557,40.703587,pink-5
19383,-73.957052,40.703134,pink-5
19384,-73.956985,40.703075,pink-5
19385,-73.956927,40.703023,pink-5
19386,-73.95642,40.70257,pink-5
19387,-73.956352999,40.70251,pink-5
19388,-73.956279,40.702558,pink-5
19389,-73.954515,40.7037,pink-5
19390,-73.954442,40.703747,pink-5
19391,-73.954507,40.703806,pink-5
19392,-73.955022,40.704266,pink-5
19393,-73.955074,40.704312,pink-5
19394,-73.955141,40.704269,pink-5
19395,-73.95628,40.703531,pink-5
19396,-73.95628,40.703531,pink-5
19397,-73.95628,40.703531,pink-5
19398,-73.95628,40.703531,pink-5
19399,-73.95628,40.703531,pink-5
19400,-73.95628,40.703531,pink-5
19401,-73.95628,40.703531,pink-5
19402,-73.95628,40.703531,pink-5
19403,-73.95628,40.703531,pink-5
19404,-73.956909,40.703124,pink-5
19405,-73.956985,40.703075,pink-5
19406,-73.956927,40.703023,pink-5
19407,-73.95642,40.70257,pink-5
19408,-73.956352999,40.70251,pink-5
19409,-73.956299,40.702462,pink-5
19410,-73.955792,40.702007,pink-5
19411,-73.955724,40.701946,pink-5
19412,-73.955669,40.701897,pink-5
19413,-73.955155,40.701439,pink-5
19414,-73.955091,40.701382,pink-5
19415,-73.955034,40.701331,pink-5
19416,-73.954528,40.700877,pink-5
19417,-73.95446,40.700816,pink-5
19418,-73.9544,40.700761,pink-5
19419,-73.954083,40.70047,pink-5
19420,-73.953953,40.70028,pink-5
19421,-73.953893,40.700206,pink-5
19422,-73.953822,40.700098,pink-5
19423,-73.953782,40.700042,pink-5
19424,-73.953388,40.699486,pink-5
19425,-73.95337,40.699405,pink-5
19426,-73.953355,40.699329,pink-5
19427,-73.95329,40.699007,pink-5
19428,-73.95299,40.697526,pink-5
19429,-73.952943,40.697295,pink-5
19430,-73.952925,40.697204,pink-5
19431,-73.952824,40.697216,pink-5
19432,-73.95212,40.697303,pink-5
19433,-73.951297,40.697393,pink-5
19434,-73.950502,40.697485,pink-5
19435,-73.950439,40.697493,pink-5
19436,-73.949754,40.697570999999996,pink-5
19437,-73.949647,40.697583,pink-5
19438,-73.949665,40.697674,pink-5
19439,-73.949776,40.698249,pink-5
19440,-73.949788,40.69831,pink-5
19441,-73.949805,40.698391,pink-5
19442,-73.949944,40.699047,pink-5
19443,-73.949851,40.699058,pink-5
19444,-73.949807,40.699063,pink-5
19445,-73.949469,40.699102,pink-5
19446,-73.949413,40.698807,pink-5
19447,-73.949358,40.69852,pink-5
