,lon,lat,properties
20611,-73.968218,40.67945,purple-22
20612,-73.968229,40.67942,purple-22
20613,-73.968373,40.679447,purple-22
20614,-73.970391,40.67987,purple-22
20615,-73.971311,40.680062,purple-22
20616,-73.971403,40.680082,purple-22
20617,-73.971489,40.6801,purple-22
20618,-73.972907,40.680396,purple-22
20619,-73.973596,40.680541,purple-22
20620,-73.974422,40.680714,purple-22
20621,-73.974506,40.680731,purple-22
20622,-73.97453,40.680672,purple-22
20623,-73.974643,40.68039,purple-22
20624,-73.974696,40.680261,purple-22
20625,-73.974766,40.680358,purple-22
20626,-73.975048,40.680747,purple-22
20627,-73.975112,40.680834,purple-22
20628,-73.975278,40.680846,purple-22
20629,-73.975314,40.680849,purple-22
20630,-73.975373,40.680856,purple-22
20631,-73.97544,40.680872,purple-22
20632,-73.9766,40.68132,purple-22
20633,-73.976945,40.681454,purple-22
20634,-73.977022,40.681484,purple-22
20635,-73.977124,40.681524,purple-22
20636,-73.979089,40.682301,purple-22
20637,-73.979445,40.682442,purple-22
20638,-73.979551,40.682484,purple-22
20639,-73.979667,40.682523,purple-22
20640,-73.979772,40.682564,purple-22
20641,-73.981904,40.683391,purple-22
20642,-73.981989,40.683424,purple-22
20643,-73.982096,40.683465,purple-22
20644,-73.983317,40.683933,purple-22
20645,-73.983896,40.684155,purple-22
20646,-73.983951,40.684176,purple-22
20647,-73.984033,40.684208,purple-22
20648,-73.985562,40.684807,purple-22
20649,-73.985562,40.684807,purple-22
20650,-73.985562,40.684807,purple-22
20651,-73.985562,40.684807,purple-22
20652,-73.985562,40.684807,purple-22
20653,-73.985562,40.684807,purple-22
20654,-73.985562,40.684807,purple-22
20655,-73.985562,40.684807,purple-22
20656,-73.985562,40.684807,purple-22
20657,-73.986061,40.685003,purple-22
20658,-73.986115,40.685025,purple-22
20659,-73.986075,40.685088,purple-22
20660,-73.98593,40.685315,purple-22
20661,-73.985726,40.685607,purple-22
20662,-73.985689,40.68566,purple-22
20663,-73.985631,40.685637,purple-22
20664,-73.983594,40.684844,purple-22
20665,-73.983522,40.684816,purple-22
20666,-73.983553,40.68477,purple-22
20667,-73.983742,40.684488,purple-22
20668,-73.983905,40.684245,purple-22
20669,-73.983951,40.684176,purple-22
20670,-73.983984,40.684127,purple-22
20671,-73.984164,40.683858,purple-22
20672,-73.984338,40.683606,purple-22
20673,-73.984371,40.683541,purple-22
20674,-73.984398,40.683486,purple-22
20675,-73.984733,40.682991,purple-22
20676,-73.984791,40.682907,purple-22
20677,-73.985171,40.68235,purple-22
20678,-73.985229,40.682277,purple-22
20679,-73.985156,40.682255,purple-22
20680,-73.98456,40.682025,purple-22
20681,-73.984509,40.682099,purple-22
20682,-73.984439,40.682201,purple-22
20683,-73.984345,40.68234,purple-22
20684,-73.984439,40.682201,purple-22
20685,-73.984509,40.682099,purple-22
20686,-73.98456,40.682025,purple-22
20687,-73.983967,40.681794,purple-22
20688,-73.983393,40.681557,purple-22
20689,-73.983283,40.681512,purple-22
20690,-73.983241,40.681574,purple-22
20691,-73.983122,40.681751,purple-22
20692,-73.983003,40.681928,purple-22
20693,-73.982891,40.682096,purple-22
20694,-73.982855,40.682149,purple-22
20695,-73.982812,40.682212,purple-22
20696,-73.982795,40.682237,purple-22
