,lon,lat,properties
24773,-73.968218,40.67945,red-23
24774,-73.968229,40.67942,red-23
24775,-73.968254,40.679352,red-23
24776,-73.968334,40.679119,red-23
24777,-73.968445,40.678831,red-23
24778,-73.968522,40.678619,red-23
24779,-73.968551,40.678545,red-23
24780,-73.968576,40.678479,red-23
24781,-73.968841,40.67774,red-23
24782,-73.968866,40.677667,red-23
24783,-73.968889,40.677599,red-23
24784,-73.968955,40.677402,red-23
24785,-73.969069,40.677088,red-23
24786,-73.969156,40.676859,red-23
24787,-73.969183,40.676787,red-23
24788,-73.969209,40.67672,red-23
24789,-73.969472,40.675977,red-23
24790,-73.969498,40.675906,red-23
24791,-73.96952,40.675843,red-23
24792,-73.969585,40.675659,red-23
24793,-73.969658,40.675452,red-23
24794,-73.969688,40.675367,red-23
24795,-73.969729,40.675268,red-23
24796,-73.969802,40.675076,red-23
24797,-73.969941,40.674937,red-23
24798,-73.970073,40.674823,red-23
24799,-73.970098,40.674801,red-23
24800,-73.97019,40.674723,red-23
24801,-73.970263,40.674664,red-23
24802,-73.97033,40.674606,red-23
24803,-73.970423,40.674534,red-23
24804,-73.970485,40.674482,red-23
24805,-73.970548,40.674428,red-23
24806,-73.970655,40.67435,red-23
24807,-73.97068,40.67428,red-23
24808,-73.970693,40.674226,red-23
24809,-73.970706,40.674155999999996,red-23
24810,-73.970712,40.674101,red-23
24811,-73.970717,40.674013,red-23
24812,-73.970712,40.673926,red-23
24813,-73.970694,40.673832,red-23
24814,-73.97066,40.673701,red-23
24815,-73.970508,40.673497,red-23
24816,-73.970408,40.673281,red-23
24817,-73.97034,40.673132,red-23
24818,-73.970257,40.672952,red-23
24819,-73.970213,40.672875,red-23
24820,-73.970173,40.672819,red-23
24821,-73.970116,40.672738,red-23
24822,-73.970101,40.672718,red-23
24823,-73.970041,40.672641,red-23
24824,-73.969764,40.672641,red-23
24825,-73.969653,40.672641,red-23
24826,-73.969464,40.672603,red-23
24827,-73.96935,40.672578,red-23
24828,-73.969276,40.672558,red-23
24829,-73.969183,40.672527,red-23
24830,-73.969076,40.672449,red-23
24831,-73.969016,40.672375,red-23
24832,-73.968834,40.672225,red-23
24833,-73.968771,40.672139,red-23
24834,-73.968004,40.671091,red-23
24835,-73.965509,40.667629,red-23
24836,-73.964356,40.665959,red-23
24837,-73.964326,40.665917,red-23
24838,-73.964284,40.665855,red-23
24839,-73.964241,40.665793,red-23
24840,-73.963641,40.664924,red-23
24841,-73.962885,40.663804999999996,red-23
24842,-73.962666,40.663508,red-23
24843,-73.9625,40.663267,red-23
24844,-73.962384,40.663097,red-23
24845,-73.962315,40.662993,red-23
24846,-73.962097,40.662666,red-23
24847,-73.96208,40.662642,red-23
24848,-73.962033,40.662572,red-23
24849,-73.961624,40.661962,red-23
24850,-73.961504,40.661785,red-23
24851,-73.961437,40.661685,red-23
24852,-73.961335,40.661541,red-23
24853,-73.961259,40.661434,red-23
24854,-73.960927,40.660967,red-23
24855,-73.960875,40.660895,red-23
24856,-73.960831,40.660828,red-23
24857,-73.960747,40.660701,red-23
24858,-73.960709,40.660635,red-23
24859,-73.960672,40.660553,red-23
24860,-73.960648,40.660479,red-23
24861,-73.960634,40.660422,red-23
24862,-73.96062,40.66028,red-23
24863,-73.960612,40.660197,red-23
24864,-73.960604,40.660103,red-23
24865,-73.960597,40.660027,red-23
24866,-73.960593,40.659971,red-23
24867,-73.960565,40.659649,red-23
24868,-73.960559,40.659573,red-23
24869,-73.960552,40.659496,red-23
24870,-73.960548,40.659436,red-23
24871,-73.960496,40.65878,red-23
24872,-73.960461,40.658403,red-23
24873,-73.960428,40.658144,red-23
24874,-73.960412,40.658045,red-23
24875,-73.960403,40.657983,red-23
24876,-73.960243,40.657232,red-23
24877,-73.960135,40.656757,red-23
24878,-73.960091,40.656567,red-23
24879,-73.960073,40.656486,red-23
24880,-73.96006,40.656433,red-23
24881,-73.959881,40.655731,red-23
24882,-73.95986,40.655637,red-23
24883,-73.959841,40.655554,red-23
24884,-73.95981,40.655403,red-23
24885,-73.959787,40.655288,red-23
24886,-73.959712,40.654918,red-23
24887,-73.959697,40.654842,red-23
24888,-73.959685,40.654782,red-23
24889,-73.959468,40.653664,red-23
24890,-73.959451,40.653575000000004,red-23
