,lon,lat,properties
26625,-73.968218,40.67945,yellow-16
26626,-73.968229,40.67942,yellow-16
26627,-73.968254,40.679352,yellow-16
26628,-73.968334,40.679119,yellow-16
26629,-73.968445,40.678831,yellow-16
26630,-73.968522,40.678619,yellow-16
26631,-73.968551,40.678545,yellow-16
26632,-73.968576,40.678479,yellow-16
26633,-73.968841,40.67774,yellow-16
26634,-73.968866,40.677667,yellow-16
26635,-73.968889,40.677599,yellow-16
26636,-73.968955,40.677402,yellow-16
26637,-73.969069,40.677088,yellow-16
26638,-73.969156,40.676859,yellow-16
26639,-73.969183,40.676787,yellow-16
26640,-73.969209,40.67672,yellow-16
26641,-73.969472,40.675977,yellow-16
26642,-73.969498,40.675906,yellow-16
26643,-73.96952,40.675843,yellow-16
26644,-73.969585,40.675659,yellow-16
26645,-73.969658,40.675452,yellow-16
26646,-73.969688,40.675367,yellow-16
26647,-73.969729,40.675268,yellow-16
26648,-73.969802,40.675076,yellow-16
26649,-73.969941,40.674937,yellow-16
26650,-73.970073,40.674823,yellow-16
26651,-73.970098,40.674801,yellow-16
26652,-73.97019,40.674723,yellow-16
26653,-73.970263,40.674664,yellow-16
26654,-73.97033,40.674606,yellow-16
26655,-73.970423,40.674534,yellow-16
26656,-73.970485,40.674482,yellow-16
26657,-73.970548,40.674428,yellow-16
26658,-73.970655,40.67435,yellow-16
26659,-73.97068,40.67428,yellow-16
26660,-73.970693,40.674226,yellow-16
26661,-73.970706,40.674155999999996,yellow-16
26662,-73.970712,40.674101,yellow-16
26663,-73.970717,40.674013,yellow-16
26664,-73.970712,40.673926,yellow-16
26665,-73.970694,40.673832,yellow-16
26666,-73.97066,40.673701,yellow-16
26667,-73.970508,40.673497,yellow-16
26668,-73.970408,40.673281,yellow-16
26669,-73.970402,40.673011,yellow-16
26670,-73.9704,40.672907,yellow-16
26671,-73.970401,40.672826,yellow-16
26672,-73.970406,40.672734,yellow-16
26673,-73.970408,40.672701,yellow-16
26674,-73.970423,40.672646,yellow-16
26675,-73.970441,40.672567,yellow-16
26676,-73.970477,40.672465,yellow-16
26677,-73.970492,40.672432,yellow-16
26678,-73.970496,40.672421,yellow-16
